scene,view,psnr,ssim,lpips
mic,00007.png,40.322410583496094,0.9968613386154175,0.0025071767158806324
mic,00000.png,39.99555206298828,0.9968664646148682,0.003015571041032672
mic,00010.png,40.45378875732422,0.99687659740448,0.0030409982427954674
mic,00194.png,40.22989273071289,0.9968964457511902,0.002437752205878496
mic,00011.png,40.52959442138672,0.9969062805175781,0.003170865820720792
mic,00008.png,40.512603759765625,0.9969140291213989,0.0026032407768070698
mic,00193.png,40.40923309326172,0.9969178438186646,0.0025065273512154818
mic,00199.png,40.006202697753906,0.9969395995140076,0.002873819787055254
mic,00196.png,40.504791259765625,0.9969402551651001,0.0024637440219521523
mic,00006.png,40.45949935913086,0.9969436526298523,0.002261646091938019
mic,00005.png,40.41846466064453,0.9969578385353088,0.0023167331237345934
mic,00089.png,40.872806549072266,0.9969595670700073,0.003199576633051038
mic,00197.png,40.31820297241211,0.9969674944877625,0.002527744509279728
mic,00198.png,40.16943359375,0.9969704747200012,0.0025755581445991993
mic,00050.png,37.56090545654297,0.9970471262931824,0.0018323990516364574
mic,00048.png,38.838035583496094,0.9970685839653015,0.0019223950803279877
mic,00049.png,38.12485885620117,0.9971176981925964,0.0016892680432647467
